Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height
458352.951,4703690.725,3121.634,gl4_10,74.49326221,42.48444915,3121.634
458355.224,4703686.267,3123.248,gl4_11,74.49329019,42.48440912,3123.248
458357.242,4703682.187,3124.228,gl4_12,74.49331504,42.48437249,3124.228
458359.532,4703677.607,3125.139,gl4_13,74.49334324,42.48433137,3125.139
458360.918,4703672.422,3126.346,gl4_14,74.49336048,42.48428475,3126.346
458363.295,4703667.692,3125.482,gl4_15,74.49338974,42.48424228,3125.482
458365.398,4703663.715,3125.832,gl4_16,74.49341561,42.48420658,3125.832
458367.719,4703659.647,3126.09,gl4_17,74.49344415,42.48417007,3126.09
458369.856,4703655.156,3125.206,gl4_18,74.49347048,42.48412974,3125.206
458372.61,4703650.835,3125.465,gl4_19,74.49350429,42.48409098,3125.465
458374.77,4703645.825,3127.352,gl4_20,74.49353094,42.48404597,3127.352
458376.707,4703641.187,3128.408,gl4_21,74.49355484,42.48400431,3128.408
458378.763,4703637.504,3128.207,gl4_22,74.49358013,42.48397126,3128.207
458380.463,4703634.223,3127.018,gl4_23,74.49360105,42.4839418,3127.018
458383.408,4703628.832,3126.869,gl4_24,74.49363727,42.4838934,3126.869
458385.259,4703623.814,3126.942,gl4_25,74.49366015,42.48384832,3126.942
458386.57,4703619.987,3128.54,gl4_26,74.49367639,42.48381392,3128.54
458390.32,4703615.091,3127.104,gl4_27,74.49372237,42.48377003,3127.104
458392.391,4703611.5,3126.736,gl4_28,74.49374782,42.4837378,3126.736
458392.824,4703606.454,3126.992,gl4_29,74.49375347,42.48369239,3126.992
458395.416,4703601.012,3127.419,gl4_30,74.49378539,42.48364352,3127.419
458397.669,4703596.643,3127.776,gl4_31,74.49381312,42.48360429,3127.776
458399.517,4703592.612,3129.015,gl4_32,74.4938359,42.48356809,3129.015
458401.257,4703587.962,3130.016,gl4_33,74.4938574,42.48352631,3130.016
458403.785,4703583.311,3131.03,gl4_34,74.49388851,42.48348456,3131.03
458406.059,4703578.628,3132.709,gl4_35,74.49391651,42.48344251,3132.709
458408.325,4703574.51,3132.44,gl4_36,74.49394437,42.48340554,3132.44
458410.475,4703571.382,3131.793,gl4_37,74.49397076,42.48337749,3131.793
458412.645,4703566.648,3131.566,gl4_38,74.49399751,42.48333497,3131.566
458414.617,4703561.5,3133.945,gl4_39,74.49402187,42.48328872,3133.945
458416.575,4703557.187,3135.57,gl4_40,74.49404601,42.48324999,3135.57
458419.004,4703552.686,3136.064,gl4_41,74.49407589,42.48320958,3136.064
458421.454,4703548.28,3136.923,gl4_42,74.49410602,42.48317003,3136.923
458422.855,4703544.264,3138.164,gl4_43,74.49412335,42.48313394,3138.164
458424.443,4703539.976,3140.788,gl4_44,74.49414299,42.48309541,3140.788
458426.765,4703535.847,3141.535,gl4_45,74.49417154,42.48305835,3141.535
458429.235,4703531.812,3141.628,gl4_46,74.49420188,42.48302215,3141.628
458431.265,4703527.926,3143.373,gl4_47,74.49422686,42.48298726,3143.373
458434.778,4703524.142,3143.531,gl4_48,74.49426988,42.48295337,3143.531
